Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
acquisitive,GregMat Vocab: eager to acquire and possess things | WordSmart I Complete 850 Words: Pronunciation: uh-KWIZ-ih-tiv; English: greedy; Bengali: ছলাভী / সংগন্রহ আগহ্রী; Example: His acquisitive nature made him unpopular at work.,GregMat Vocab; WordSmart I Complete 850 Words,eager to acquire and possess things,,,,Pronunciation: uh-KWIZ-ih-tiv; English: greedy; Bengali: ছলাভী / সংগন্রহ আগহ্রী; Example: His acquisitive nature made him unpopular at work.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
acquit,"Kaplan 900 + High Frequency GRE: to find not guilty, to conduct oneself | WordSmart I Complete 850 Words: Pronunciation: uh-KWIT; English: to find not guilty; Bengali: বননোষ ছঘাষণা করা / খ্ালাস ছেওযা; Example: The jury acquitted him after reviewing the evidence.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"to find not guilty, to conduct oneself",,Pronunciation: uh-KWIT; English: to find not guilty; Bengali: বননোষ ছঘাষণা করা / খ্ালাস ছেওযা; Example: The jury acquitted him after reviewing the evidence.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
acrid,WordSmart I Complete 850 Words: Pronunciation: AK-rid; English: harsh; Bengali: তীব্র / ঝাঝঁ ানলা; Example: The acrid smell of smoke filled the building.,WordSmart I Complete 850 Words,,,,,Pronunciation: AK-rid; English: harsh; Bengali: তীব্র / ঝাঝঁ ানলা; Example: The acrid smell of smoke filled the building.,WordSmart1_Complete_850Words.pdf
acrimonious,"GregMat Vocab: bitter and sharp in language or tone | Barron's 1100 - First 20 Weeks: caustic, bitter | WordSmart I Complete 850 Words: Pronunciation: ak-rih-MOH- nee-us; English: bitter; Bengali: বতক্ত / কলহপূণ ে; Example: Their divorce was long and acrimonious.",GregMat Vocab; Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,bitter and sharp in language or tone,"caustic, bitter",,,Pronunciation: ak-rih-MOH- nee-us; English: bitter; Bengali: বতক্ত / কলহপূণ ে; Example: Their divorce was long and acrimonious.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
acrimony,Magoosh GRE 1000 Words: (noun): bitterness and ill will The acrimonious dispute between the president and vice-president sent a clear signal to voters: the health of the current administration was imperiled.,Magoosh GRE 1000 Words,,,,(noun): bitterness and ill will The acrimonious dispute between the president and vice-president sent a clear signal to voters: the health of the current administration was imperiled.,,magoosh-gre-1000-words_oct01.pdf
acronym,WordSmart I Complete 850 Words: Pronunciation: AK-roh-nim; English: a word made up of the initials of other words; Bengali: আেযকর্ষ বেনয ততবর শব্দ; Example: NASA is an acronym for National Aeronautics and Space Administration.,WordSmart I Complete 850 Words,,,,,Pronunciation: AK-roh-nim; English: a word made up of the initials of other words; Bengali: আেযকর্ষ বেনয ততবর শব্দ; Example: NASA is an acronym for National Aeronautics and Space Administration.,WordSmart1_Complete_850Words.pdf
acumen,GregMat Vocab: quickness and keenness in understanding and judgment | Kaplan 900 + High Frequency GRE: Mental sharpness | WordSmart I Complete 850 Words: Pronunciation: AK-yoo-men; English: mental sharpness; Bengali: তীক্ষ্ণ িুতি্ত্ব / বিচকণ্ষতা; Example: Her business acumen helped the company grow rapidly.,GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,quickness and keenness in understanding and judgment,,Mental sharpness,,Pronunciation: AK-yoo-men; English: mental sharpness; Bengali: তীক্ষ্ণ িুতি্ত্ব / বিচকণ্ষতা; Example: Her business acumen helped the company grow rapidly.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
acute,WordSmart I Complete 850 Words: Pronunciation: uh-KYOOT; English: sharp; Bengali: তীক্ষ্ণ / তীব ্র; Example: He had an acute sense of hearing.,WordSmart I Complete 850 Words,,,,,Pronunciation: uh-KYOOT; English: sharp; Bengali: তীক্ষ্ণ / তীব ্র; Example: He had an acute sense of hearing.,WordSmart1_Complete_850Words.pdf
ad-lib,"WordSmart I Complete 850 Words: Pronunciation: AD-lib; English: to improvise; Bengali: তাৎক্ষবণকভানি িলা / পূিপে্রস্তুবত ো়ো িলা; Example: When he forgot his lines, he ad-libbed brilliantly.",WordSmart I Complete 850 Words,,,,,"Pronunciation: AD-lib; English: to improvise; Bengali: তাৎক্ষবণকভানি িলা / পূিপে্রস্তুবত ো়ো িলা; Example: When he forgot his lines, he ad-libbed brilliantly.",WordSmart1_Complete_850Words.pdf
adage,WordSmart I Complete 850 Words: Pronunciation: AD-ij; English: a proverb; Bengali: প্রিাে / প্রচবলত িাণী; Example: The old adage says that time is money.,WordSmart I Complete 850 Words,,,,,Pronunciation: AD-ij; English: a proverb; Bengali: প্রিাে / প্রচবলত িাণী; Example: The old adage says that time is money.,WordSmart1_Complete_850Words.pdf
adamant,"Magoosh GRE 1000 Words: (adjective): refusing to change one's mind Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place. | WordSmart I Complete 850 Words: Pronunciation: AD-uh-munt; English: stubborn; Bengali: অন়ে / একগাঁনয; Example: She was adamant about not changing her decision.",Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,,"(adjective): refusing to change one's mind Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place.",Pronunciation: AD-uh-munt; English: stubborn; Bengali: অন়ে / একগাঁনয; Example: She was adamant about not changing her decision.,WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
address,WordSmart I Complete 850 Words: Pronunciation: uh-DRES; English: to direct one's attention to; Bengali: সনবািন করা / মননানযাগ ছেওযা; Example: The president addressed the nation on television.,WordSmart I Complete 850 Words,,,,,Pronunciation: uh-DRES; English: to direct one's attention to; Bengali: সনবািন করা / মননানযাগ ছেওযা; Example: The president addressed the nation on television.,WordSmart1_Complete_850Words.pdf
adduce,WordSmart I Complete 850 Words: Pronunciation: uh-DYOOS; English: to bring forward as an example or as proof; Bengali: প্রমাণ বহনসনি উপসা্থপন করা; Example: He adduced several facts to support his argument.,WordSmart I Complete 850 Words,,,,,Pronunciation: uh-DYOOS; English: to bring forward as an example or as proof; Bengali: প্রমাণ বহনসনি উপসা্থপন করা; Example: He adduced several facts to support his argument.,WordSmart1_Complete_850Words.pdf
adept,GregMat Vocab: well skilled; completely versed,GregMat Vocab,well skilled; completely versed,,,,,GregMat Vocab.pdf
adherent,WordSmart I Complete 850 Words: Pronunciation: ad-HEER-unt; English: supporter; Bengali: সমরক্ে / অনুগামী; Example: She is a strong adherent of environmental causes.,WordSmart I Complete 850 Words,,,,,Pronunciation: ad-HEER-unt; English: supporter; Bengali: সমরক্ে / অনুগামী; Example: She is a strong adherent of environmental causes.,WordSmart1_Complete_850Words.pdf
adjourn,WordSmart I Complete 850 Words: Pronunciation: uh-JURN; English: to postpone; Bengali: মুলতবি করা / স্থবগত রাখ্া; Example: The meeting was adjourned until the following Monday.,WordSmart I Complete 850 Words,,,,,Pronunciation: uh-JURN; English: to postpone; Bengali: মুলতবি করা / স্থবগত রাখ্া; Example: The meeting was adjourned until the following Monday.,WordSmart1_Complete_850Words.pdf
adjudicate,Magoosh GRE 1000 Words: (verb): to serve as a judge in a competition; to arrive at a judgment or conclusion Only those with the most refined palates were able to adjudicate during the barbeque competition.,Magoosh GRE 1000 Words,,,,(verb): to serve as a judge in a competition; to arrive at a judgment or conclusion Only those with the most refined palates were able to adjudicate during the barbeque competition.,,magoosh-gre-1000-words_oct01.pdf
adjunct,WordSmart I Complete 850 Words: Pronunciation: AJ-ungkt; English: something added to or connected with something else; Bengali: সংনযাজন / পবরপূরক অংশ; Example: Exercise is a useful adjunct to a healthy diet.,WordSmart I Complete 850 Words,,,,,Pronunciation: AJ-ungkt; English: something added to or connected with something else; Bengali: সংনযাজন / পবরপূরক অংশ; Example: Exercise is a useful adjunct to a healthy diet.,WordSmart1_Complete_850Words.pdf
adjure,Kaplan 900 + High Frequency GRE: to command or urge solemnly and earnestly,Kaplan 900 + High Frequency GRE,,,to command or urge solemnly and earnestly,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
admonish,"GregMat Vocab: 1. scold someone seriously 2. give someone urgent advice | Barron's 1100 - First 20 Weeks: ad mon ' ish to scold, warn | Magoosh GRE 1000 Words: (verb): to warn strongly, even to the point of reprimanding Before the concert began, security personel admonished the crowd not to come up on stage during the performance. | WordSmart I Complete 850 Words: Pronunciation: ad-MON-ish; English: to warn; Bengali: সতক েকরা / মৃেু ভৎেসনা করা; Example: The teacher admonished students to study hard.",GregMat Vocab; Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,1. scold someone seriously 2. give someone urgent advice,"ad mon ' ish to scold, warn",,"(verb): to warn strongly, even to the point of reprimanding Before the concert began, security personel admonished the crowd not to come up on stage during the performance.",Pronunciation: ad-MON-ish; English: to warn; Bengali: সতক েকরা / মৃেু ভৎেসনা করা; Example: The teacher admonished students to study hard.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
admonitory,"Magoosh GRE 1000 Words: (adjective): serving to warn; expressing reproof or reproach especially as a corrective At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night.",Magoosh GRE 1000 Words,,,,"(adjective): serving to warn; expressing reproof or reproach especially as a corrective At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night.",,magoosh-gre-1000-words_oct01.pdf
adroit,"GregMat Vocab: deft, dexterous, or skillful | Barron's 1100 - First 20 Weeks: clever | WordSmart I Complete 850 Words: Pronunciation: uh-DROYT; English: skillful; Bengali: েক ্ষ/ চতুর; Example: She was adroit at handling difficult customers.",GregMat Vocab; Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,"deft, dexterous, or skillful",clever,,,Pronunciation: uh-DROYT; English: skillful; Bengali: েক ্ষ/ চতুর; Example: She was adroit at handling difficult customers.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
adulterate,GregMat Vocab: damage the quality of; corrupt | Kaplan 900 + High Frequency GRE: Make impure,GregMat Vocab; Kaplan 900 + High Frequency GRE,damage the quality of; corrupt,,Make impure,,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
adumbrate,"Kaplan 900 + High Frequency GRE: to suggest partly, to give a hint of things to come",Kaplan 900 + High Frequency GRE,,,"to suggest partly, to give a hint of things to come",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
advent,WordSmart I Complete 850 Words: Pronunciation: AD-vent; English: arrival; Bengali: আগমন / সূচনা; Example: The advent of smartphones changed communication forever.,WordSmart I Complete 850 Words,,,,,Pronunciation: AD-vent; English: arrival; Bengali: আগমন / সূচনা; Example: The advent of smartphones changed communication forever.,WordSmart1_Complete_850Words.pdf
